genomefile,brieftax,f_major,f_ident,f_removed,n_reason_1,n_reason_2,n_reason_3,refsize,ratio,clean_bp,clean_n,dirty_n,dirty_bp,missed_n,missed_bp,taxguessed,taxprovided,comment
ERS235530_10.fna.gz,genus g__CAG-1024,0.4759972954699121,0.41146195576575323,0.40384754897632363,56,220,190,1988000,2.17,4314183,542,466,2922528,46,115204,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-1024;s__CAG-1024 sp000432015,,
LeChatelierE_2013__MH0074__bin.19.fa.gz,genus g__CAG-45,0.7185534591194969,0.6977509599561162,0.29554345570655,29,58,92,2748000,0.96,2637896,247,179,1106687,21,54563,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45;s__CAG-45 sp900066395,,
LiJ_2014__O2.UC28-1__bin.61.fa.gz,genus g__Ruminiclostridium_E,0.9368246051537822,0.4833266372036963,0.0008348710841491275,0,1,0,2592000,1.0,2583869,42,1,2159,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,,
LiSS_2016__FAT_DON_8-22-0-0__bin.28.fa.gz,genus g__CAG-170,0.7509433962264151,0.15420424789060228,0.13887930792603692,4,28,8,2572000,1.18,3038386,155,40,490023,6,17620,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135,,
LoombaR_2017__SID1050_bax__bin.11.fa.gz,genus g__Anaeromassilibacillus,0.9527220630372493,0.7690047741461623,0.04363462393231635,2,3,5,3491000,0.75,2620707,50,10,119571,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus sp002159845,,
NielsenHB_2014__MH0094__bin.44.fa.gz,genus g__Prevotella,0.9870218579234973,0.4653528289891926,0.0,0,0,0,3392000,0.91,3102393,67,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri,,
QinJ_2012__CON-091__bin.20.fa.gz,genus g__Faecalibacterium,0.9872509960159362,0.535181236673774,0.005061855453571654,1,1,0,2735000,0.87,2368500,140,2,12050,2,8990,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G,,
SRR4305229_bin.5.fa.gz,genus g__Roseburia,0.7199275362318841,0.5674342105263158,0.2725461319260606,25,37,88,4052000,0.87,3537694,185,150,1325424,6,19861,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans,,
SRR5127401_bin.3.fa.gz,genus g__UBA11774,0.6466268930702157,0.5979692645444566,0.3137077884869924,32,65,95,2206000,1.11,2457703,198,192,1123429,10,25190,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA11774;s__UBA11774 sp003507655,,
SRR5558047_bin.10.fa.gz,genus g__Alistipes,0.9750435287289612,0.6288321167883212,0.007986727242541746,0,0,1,2584000,1.04,2682887,93,1,21600,1,4108,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,,
SRR6028281_bin.3.fa.gz,genus g__Lachnospira,0.9440758293838862,0.7711988304093568,0.08969821385170547,5,4,7,2579000,0.99,2550621,324,16,251330,6,18176,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B,,
SRS075078_49.fna.gz,genus g__TF01-11,0.8084249084249084,0.7831325301204819,0.21308955241119049,20,50,53,2709000,0.98,2657155,193,123,719538,18,34419,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp003529475,,
SRS103987_37.fna.gz,genus g__ER4,0.9590163934426229,0.5403543307086615,0.003126707827281146,0,1,0,2670000,0.77,2048452,94,1,6425,1,2977,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,,
SRS104400_110.fna.gz,genus g__Lachnospira,0.3880721220527046,0.4401172018068612,0.512391602180513,27,147,231,2542000,1.55,3939575,323,405,4139808,5,13014,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325,,
SRS143598_15.fna.gz,genus g__Lachnospira,0.519270192701927,0.6084570288137707,0.44304368496052,73,174,282,2695000,1.67,4492819,355,529,3573916,34,89755,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735,,
SRS1719112_8.fna.gz,genus g__Oscillibacter,0.8125490196078431,0.635593220338983,0.24380157998397936,9,24,38,3093000,0.97,3000128,292,71,967254,4,13715,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp900066435,,
SRS1719498_9.fna.gz,genus g__Acetatifactor,0.7037239868565169,0.6921910538286581,0.3572873814363427,43,65,144,4162000,0.83,3455707,323,252,1921046,13,37020,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565,,
SRS1719577_6.fna.gz,genus g__Faecalibacterium,0.9464378575143005,0.6114467408585056,0.06586067557853523,14,9,10,3014000,0.95,2865421,155,33,202024,14,25047,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D,,
SRS1735506_4.fna.gz,genus g__Bacteroides,0.9515428571428571,0.6708065010732904,0.05573488999535173,25,34,22,6492000,0.96,6228367,189,81,367627,16,22613,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,,
SRS1735645_19.fna.gz,genus g__Acetatifactor,0.7941558441558442,0.7044830741079597,0.2666115064386209,71,48,72,3642000,0.89,3248559,310,191,1180961,17,34205,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365,,
SRS294916_20.fna.gz,genus g__Romboutsia,0.9919431279620853,0.7097208207198117,0.02072869527740481,0,3,2,2896000,1.02,2953825,258,5,62525,9,15200,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis,,
SRS476209_42.fna.gz,genus g__Ruminococcus_D,0.7779448621553885,0.5916370106761566,0.18853157849058338,7,16,38,2978000,0.91,2702116,87,61,627793,3,7885,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,,
VatanenT_2016__G80445__bin.9.fa.gz,genus g__Faecalibacterium,0.9819767441860465,0.6389301634472511,0.01708900526754042,1,1,0,3014000,0.86,2578034,61,2,44822,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D,,
VogtmannE_2016__MMRS43563715ST-27-0-0__bin.70.fa.gz,genus g__CAG-81,0.9930907415937356,0.788594260806393,0.006938487481867224,0,1,2,3347000,0.83,2780749,188,3,19429,3,7160,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785,,
XieH_2016__YSZC12003_37172__bin.63.fa.gz,genus g__Acutalibacter,0.9828722002635046,0.6443123938879457,0.0,0,0,0,2571000,0.91,2343469,91,0,0,0,0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp000435395,,
ZeeviD_2015__PNP_Main_232__bin.27.fa.gz,genus g__Blautia_A,0.951744937526928,0.6385144429160935,0.08270807693903232,37,16,15,4253000,0.78,3316790,327,68,299060,12,26035,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165,,
