genomefile,brieftax,f_major,f_ident,f_removed,n_reason_1,n_reason_2,n_reason_3,refsize,ratio,clean_bp,clean_n,dirty_n,dirty_bp,missed_n,missed_bp,taxguessed,taxprovided,comment
TARA_ANE_MAG_00019.fa,genus g__MGIIb-N2,0.9928876244665719,0.7729521715228147,0.004082727703481894,0,2,0,1654000,1.11,1841216,108,2,7548,1,3412,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2;s__MGIIb-N2 sp002713585,,
TARA_ANE_MAG_00020.fa,genus g__HIMB59,0.9982190560997328,0.8424606151537885,0.0,0,0,0,1378000,0.92,1274336,19,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59;s__HIMB59 sp002705265,,
TARA_ANE_MAG_00022.fa,genus g__UBA9145,0.9994916115912558,0.7662641215426568,0.0009624914412791764,0,1,0,2902000,0.91,2654090,395,1,2557,7,21729,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002457215,,
TARA_ANE_MAG_00023.fa,genus g__UBA3537,0.9893048128342246,0.25739848589125947,0.011193219988631079,1,2,0,1509000,0.95,1435080,186,3,16245,2,6597,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA3537;s__UBA3537 sp002721175,,
TARA_ANE_MAG_00024.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00025.fa,genus g__UBA11663,0.9870550161812298,0.5040783034257749,0.008375020613168752,2,1,0,2142000,0.9,1918242,142,3,16201,4,13013,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA11663;s__UBA11663 sp002863145,,
TARA_ANE_MAG_00026.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00027.fa,genus g__MGIIa-L3,0.9964362081254454,0.7450876261285183,0.010971264915870815,1,1,0,1467000,1.29,1897959,106,2,21054,2,5500,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L3;s__MGIIa-L3 sp12206u,,
TARA_ANE_MAG_00028.fa,genus g__TMED-70,0.999043062200957,0.8722871452420701,0.002263497662077111,0,1,0,1306000,0.94,1233342,113,1,2798,1,3562,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__TMED-70;s__TMED-70 sp002699165,,
TARA_ANE_MAG_00029.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00030.fa,genus g__MGIIa-I,0.9991843393148451,0.7332535885167464,0.0021927923394735966,0,1,0,1582000,1.04,1645878,151,1,3617,0,0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-I;s__MGIIa-I sp002699515,,
TARA_ANE_MAG_00031.fa,genus g__Psychrobacter,0.9963138493944181,0.8581111613194758,0.011379158450855903,1,0,2,3208000,0.67,2134380,379,3,24567,8,24479,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter pacificensis,,
TARA_ANE_MAG_00032.fa,genus g__UBA8309,0.9949127906976745,0.8089359200470312,0.004484721481157922,0,1,1,1604000,1.12,1800474,274,2,8111,13,40186,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457765,,
TARA_ANE_MAG_00033.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00034.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00035.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00036.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00037.fa,genus g__Oleibacter,0.9937360178970918,0.6826511912034209,0.0009738406979079416,1,0,0,3085000,1.06,3263267,193,1,3181,1,6588,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleibacter;s__Oleibacter sp002331105,,
TARA_ANE_MAG_00038.fa,genus g__Roseibacillus,0.9980897803247374,0.5839375348577802,0.0037551885324628937,0,3,0,3737000,0.95,3550486,513,3,13383,8,25216,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus;s__Roseibacillus sp002420305,,
TARA_ANE_MAG_00039.fa,genus g__GCA-002694895,0.9646840148698885,0.47400881057268723,0.07550327823437067,0,5,2,866000,1.29,1121274,136,7,91574,2,5448,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__GCA-002694895;g__GCA-002694895;s__GCA-002694895 sp002711005,,
TARA_ANE_MAG_00040.fa,genus g__GCA-2693335,0.9539473684210527,0.36385397965290245,0.037071091133912,3,0,3,1487000,1.06,1579292,72,6,60800,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2693335;s__GCA-2693335 sp002724895,,
TARA_ANE_MAG_00041.fa,genus g__GCA-2715565,0.9684418145956607,0.3208860759493671,0.020911868864660777,0,4,1,1353000,1.1,1483811,151,5,31692,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2715565;s__GCA-2715565 sp002715565,,
TARA_ANE_MAG_00042.fa,genus g__MGIIa-L1,0.9802731411229135,0.34039256198347106,0.03108767917481397,1,0,0,2049000,0.9,1840354,131,1,59048,1,2613,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__MGIIa-L1 sp002687075,,
TARA_ANE_MAG_00043.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00044.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00046.fa,genus g__TMED69,0.9847619047619047,0.5511811023622047,0.023810025784443738,0,10,1,1912000,0.97,1852094,358,11,45174,9,32773,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536_A;f__TMED69;g__TMED69;s__TMED69 sp002170535,,
TARA_ANE_MAG_00048.fa,genus g__UBA11869,0.9777468706536857,0.6495031616982837,0.021796254285872767,0,2,1,1181000,0.88,1040485,201,3,23184,4,11421,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869;s__UBA11869 sp002698845,,
TARA_ANE_MAG_00049.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00050.fa,genus g__TMED25,0.9938423645320197,0.8210313447927199,0.00578282488492241,0,0,1,1368000,0.7,953157,148,1,5544,5,14312,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__TMED25;g__TMED25;s__TMED25 sp002699615,,
TARA_ANE_MAG_00051.fa,genus g__GCA-2697505,0.751219512195122,0.36607142857142855,0.3860296232957045,19,12,17,1506000,0.46,693614,78,48,436105,3,11943,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2697505;s__GCA-2697505 sp002697505,,
TARA_ANE_MAG_00052.fa,genus g__Thalassarchaeum,0.9871414441147379,0.8166397415185783,0.025395479481694926,0,0,1,1211000,1.01,1220660,108,1,31807,5,16079,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002698225,,
TARA_ANE_MAG_00053.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00054.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00055.fa,genus g__Poseidonia,0.9787835926449788,0.48226466575716237,0.023101024873083596,0,3,1,1731000,0.87,1504992,259,4,35589,6,17630,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia;s__Poseidonia sp002726495,,
TARA_ANE_MAG_00056.fa,genus g__UBA2962,1.0,0.9081632653061225,0.0,0,0,0,1831000,0.83,1524396,105,0,0,2,9357,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA2962;g__UBA2962;s__UBA2962 sp002699485,,
TARA_ANE_MAG_00057.fa,genus g__UBA4421,0.9984235417761429,0.8188468158347676,0.008654365715601775,0,1,0,2693000,0.87,2350194,378,1,20517,7,20406,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002704225,,
TARA_ANE_MAG_00058.fa,genus g__GCA-002705045,0.9984051036682615,0.81060116354234,0.0035368025162938223,0,1,0,2014000,0.75,1507034,226,1,5349,5,17424,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002705045;s__GCA-002705045 sp002699695,,
TARA_ANE_MAG_00059.fa,genus g__UBA11606,0.9968076616121309,0.6468766133195664,0.002691487468346921,0,1,0,1946000,0.98,1916442,351,1,5172,13,45997,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__UBA11606;s__UBA11606 sp002699625,,
TARA_ANE_MAG_00060.fa,genus g__UBA7446,0.9971428571428571,0.8406725380304243,0.006312956311059249,0,1,0,1440000,0.89,1283318,98,1,8153,1,2768,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA7446;s__UBA7446 sp002698745,,
TARA_ANE_MAG_00061.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00062.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00063.fa,genus g__MGIIb-O5,0.9970588235294118,0.8831168831168831,0.02665496487265514,0,1,0,1345000,0.82,1107946,47,1,30341,0,0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5;s__MGIIb-O5 sp002496725,,
TARA_ANE_MAG_00064.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00065.fa,genus g__MGIIb-N2,0.9827420901246404,0.6852825229960579,0.01573112162343217,0,1,2,1346000,1.14,1528042,227,3,24422,3,7872,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2;s__MGIIb-N2 sp002708015,,
TARA_ANE_MAG_00066.fa,genus g__GCA-002705045,0.9979695431472081,0.8073770491803278,0.0046641630664109035,0,1,0,2134000,0.57,1215744,275,1,5697,8,25482,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002705045;s__GCA-002705045 sp002705045,,
TARA_ANE_MAG_00068.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00069.fa,genus g__GCA-002719695,0.8921438082556591,0.7323256947830327,0.17935287220897977,0,9,26,1559000,1.1,1715562,201,35,374937,6,23258,d__Bacteria;p__Margulisbacteria;c__ZB3;o__UBA817;f__GCA-002719695;g__GCA-002719695;s__GCA-002719695 sp002697535,,
TARA_ANE_MAG_00070.fa,genus g__Marinoscillum,0.9962546816479401,0.5448979591836735,0.00574222519642307,0,1,0,1251000,0.78,974653,170,1,5629,6,19311,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Marinoscillaceae;g__Marinoscillum;s__Marinoscillum sp002692105,,
TARA_ANE_MAG_00071.fa,genus g__MED-G13,0.9429530201342282,0.6827033218785796,0.06379572333816232,0,1,5,1433000,0.55,792936,127,6,54033,1,2913,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G13;s__MED-G13 sp002697255,,
TARA_ANE_MAG_00073.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00074.fa,genus g__S36-B12,0.9667651403249631,0.6824596774193549,0.07699001634373988,3,4,6,1793000,1.04,1862540,284,13,155358,8,22578,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__S36-B12 sp002729215,,
TARA_ANE_MAG_00076.fa,genus g__MedAcidi-G2A,0.8673469387755102,0.16540084388185655,0.033064837585125934,0,2,5,1776000,0.64,1144975,220,7,39153,7,24210,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__MedAcidi-G2A;s__MedAcidi-G2A sp002295705,,
TARA_ANE_MAG_00077.fa,genus g__UBA1096,0.9733333333333334,0.35196245733788395,0.030673946897043402,0,12,2,3046000,0.75,2286898,463,14,72368,11,33890,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__UBA1096 sp002453165,,
TARA_ANE_MAG_00078.fa,genus g__Litoricola,0.910377358490566,0.3274974253347065,0.06558962562248793,0,17,6,1603000,1.15,1848217,284,23,129733,7,23370,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__Litoricola;s__Litoricola sp002714245,,
TARA_ANE_MAG_00079.fa,genus g__EC70,0.993502658003544,0.7332178432221741,0.009856875697652803,2,3,1,2748000,0.84,2311602,430,6,23012,12,36657,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70;s__EC70 sp002705125,,
TARA_ANE_MAG_00080.fa,genus g__Luminiphilus,0.9815068493150685,0.7281795511221946,0.029221812055595472,4,2,6,2126000,0.92,1959176,378,12,58974,3,9919,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__Luminiphilus sp002683335,,
TARA_ANE_MAG_00081.fa,genus g__UBA721,0.9794790844514601,0.5777473780209759,0.02811017957380034,3,6,2,2557000,0.82,2087216,481,11,60369,10,31000,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721;s__UBA721 sp002705165,,
TARA_ANE_MAG_00082.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00083.fa,genus g__UBA9659,0.9933510638297872,0.32781168265039234,0.005150642014819118,0,3,0,2954000,0.78,2301582,511,3,11916,17,54960,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp002694945,,
TARA_ANE_MAG_00086.fa,genus g__None,0.2903225806451613,0.003935508442300368,0.010008056048314095,0,13,4,0,0.0,7671900,1894,17,77557,55,167250,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00087.fa,genus g__Alteromonas_A,0.9917550058892816,0.7812883435582823,0.017711190566141267,3,6,2,4371000,0.71,3114883,619,11,56163,16,48705,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas_A;s__Alteromonas_A sp002335925,,
TARA_ANE_MAG_00088.fa,genus g__None,0.7631578947368421,0.013628212791392707,0.020777962697492904,0,17,17,0,0.0,8216092,1866,34,174336,58,185588,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00090.fa,genus g__None,0.6666666666666666,0.004939626783754116,0.009219345751814902,0,10,4,0,0.0,5508680,1461,14,51259,54,164628,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00091.fa,genus g__None,0.6666666666666666,0.0010468463752944255,0.0023484152699486836,0,4,2,0,0.0,11688047,3070,6,27513,118,353407,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00092.fa,genus g__Alteromonas,0.9621212121212122,0.4076590487955528,0.04894464242145379,3,10,5,4402000,0.68,3005353,485,18,154666,10,32456,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas gracilis,,
TARA_ANE_MAG_00093.fa,genus g__None,0.6862745098039216,0.010732323232323232,0.02227654439538263,0,13,20,0,0.0,9342877,1850,33,212869,38,123378,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00094.fa,genus g__UBA1479,0.656,0.11831519167061051,0.06706281467170541,2,32,8,3878000,0.5,1945091,550,42,139820,23,69471,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__UBA1479;g__UBA1479;s__UBA1479 sp002696205,,
TARA_ANE_MAG_00096.fa,genus g__Alteromonas,0.962882096069869,0.7003058103975535,0.04562783170271032,3,4,4,4507000,0.44,1976688,463,11,94504,16,50852,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,,
TARA_ANE_MAG_00097.fa,genus g__None,0.9276729559748428,0.15354901014002897,0.203186946417558,0,17,49,0,0.0,1698913,430,66,433222,17,46055,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00098.fa,genus g__None,0.8974358974358975,0.01675257731958763,0.03845437080345511,0,6,8,0,0.0,2254762,672,14,90173,40,113344,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00099.fa,genus g__None,0.3333333333333333,0.0014272121788772598,0.004659189279505894,0,3,0,0,0.0,2123692,608,3,9941,28,87441,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANE_MAG_00101.fa,genus g__None,0.10526315789473684,0.0009977943493330534,0.02253803771914246,0,19,0,0,0.0,18581114,1555,19,428438,7,29691,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ANW_MAG_00001.fa,genus g__Parvibaculum,0.9937835546764623,0.993542953396968,0.0,0,0,0,3638000,1.01,3686209,15,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum;s__Parvibaculum sp002480495,,
TARA_ANW_MAG_00002.fa,genus g__Salinisphaera,0.9989380530973452,0.9397870924817032,0.01562643822451462,0,2,0,2876000,1.04,2983716,177,2,47365,1,3258,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Salinisphaeraceae;g__Salinisphaera;s__Salinisphaera sp002320455,,
TARA_ANW_MAG_00003.fa,genus g__GCA-2700365,0.9956672443674177,0.9829642248722317,0.0066322378191520604,0,1,0,2348000,1.01,2367851,25,1,15809,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Emcibacteraceae;g__GCA-2700365;s__GCA-2700365 sp002700365,,
TARA_ANW_MAG_00004.fa,genus g__UBA4149,0.9996507160321342,0.9913434903047091,0.0,0,0,0,2997000,0.94,2825991,51,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Emcibacteraceae;g__UBA4149;s__UBA4149 sp002380195,,
TARA_ANW_MAG_00005.fa,genus g__Cycloclasticus,1.0,0.9978213507625272,0.0,0,0,0,2464000,0.95,2343823,21,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp002700385,,
TARA_ANW_MAG_00006.fa,genus g__Ketobacter,0.9854368932038835,0.9745269286754003,0.011826818307687231,0,0,2,5384000,1.01,5420623,110,2,64876,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665,,
TARA_ANW_MAG_00007.fa,genus g__UBA721,0.9970537687208446,0.9059163701067615,0.0019719724227067136,0,0,1,4946000,0.89,4410718,352,1,8715,0,0,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721;s__UBA721 sp002701385,,
TARA_ANW_MAG_00009.fa,genus g__Halioglobus,0.9928825622775801,0.9911816578483245,0.023963547180003222,1,1,1,5168000,0.95,4929232,83,3,121022,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__Halioglobus sp002699145,,
TARA_ANW_MAG_00010.fa,genus g__Aequorivita,0.99235807860262,0.6848598130841121,0.016439666592076307,6,2,0,3071000,0.87,2685581,364,8,44888,4,11763,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita aquimaris,,
TARA_ANW_MAG_00011.fa,genus g__Thioclava,0.9688581314878892,0.627503015681544,0.040786853339328924,3,3,2,4047000,0.98,3950598,229,8,167984,2,5660,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thioclava;s__Thioclava sediminum,,
TARA_ANW_MAG_00012.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANW_MAG_00013.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ANW_MAG_00014.fa,genus g__UBA1668,0.9996177370030581,0.9488574537540805,0.004036946713024271,0,1,0,2869000,0.96,2763174,208,1,11200,2,6824,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1668;s__UBA1668 sp002702575,,
TARA_ANW_MAG_00015.fa,genus g__UBA3465,1.0,0.9951343346731543,0.0,0,0,0,4801000,0.98,4707613,42,0,0,1,5576,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__UBA3465;s__UBA3465 sp002729885,,
TARA_ANW_MAG_00016.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
